Location,Type,X,Y,Region

Waystone Inn,Major City,160,50,Northreach

Welton,Town,140,65,Northreach

Westly's Farm,Landmark,136,65,Northreach

Shepherd's Crook Inn,Landmark,140,65,Northreach

Noke's Tower,Landmark,150,50,Northreach

Palebank Village,Town,170,35,Northreach

Croaker Cave,Ruins,170,38,Northreach

Pinebrook,Town,185,55,Northreach

Temple of Dragonknights,Holy Site,140,45,Northreach

Salsvault,Ruins,182,14,Far North

Syrinlya Outpost,Landmark,190,20,Far North

Solaris,Major City,160,162,Solaris Dominion

Divinity's Beacon,Holy Site,145,155,Solaris Dominion

Khardûn-Tharum,Major City,262,88,Stonebound Depths

Vaeltharyn,Major City,55,140,Nullwood Expanse

Vharoxis,Outlaw City,238,138,Vharoxis

Port Sentinel,Town,38,163,Shattered Coast

Solace Nexus,Town,200,188,Verdant Marches

Cindermarch,Outlaw City,100,212,Emberlands

The Nullwood Expanse,Forest,50,110,Nullwood Expanse

The Stonebound Depths,Landmark,270,85,Stonebound Depths

The Shattered Coast,Landmark,37,163,Shattered Coast

The Emberlands,Landmark,95,215,Emberlands

The Verdant Marches,Landmark,205,195,Verdant Marches

