Page,StartLine,TotalLines,NonEmpty,HasColumn
1,1,47,28,0
2,48,73,70,0
3,121,83,40,1
4,204,36,26,1
5,240,41,25,1
6,281,26,17,0
7,307,83,61,0
8,390,96,73,1
9,486,100,74,1
10,586,116,76,1
11,702,88,65,1
12,790,99,66,1
13,889,100,70,1
14,989,55,37,1
15,1044,73,52,1
16,1117,93,68,0
17,1210,84,59,1
18,1294,62,50,1
19,1356,78,54,1
20,1434,70,57,1
21,1504,83,63,1
22,1587,86,61,1
23,1673,93,63,1
24,1766,90,55,1
25,1856,88,52,1
26,1944,47,31,0
27,1991,92,56,1
28,2083,48,29,1
29,2131,41,25,1
30,2172,50,32,1
31,2222,79,48,0
32,2301,95,69,1
33,2396,65,48,1
34,2461,62,48,1
35,2523,56,43,0
36,2579,64,51,1
37,2643,64,50,0
38,2707,73,55,1
39,2780,78,53,1
40,2858,32,19,0
41,2890,78,52,0
42,2968,78,57,0
43,3046,43,34,0
44,3089,52,39,0
45,3141,57,41,0
46,3198,45,29,0
47,3243,65,49,1
48,3308,85,49,1
49,3393,32,19,0
50,3425,67,44,1
51,3492,61,39,1
52,3553,124,73,0
53,3677,104,65,0
54,3781,115,71,0
55,3896,100,64,1
56,3996,72,55,0
57,4068,54,32,1
58,4122,83,62,1
59,4205,84,62,1
60,4289,88,62,1
61,4377,80,56,1
62,4457,91,66,1
63,4548,84,66,1
64,4632,98,56,1
65,4730,116,63,1
66,4846,103,56,1
67,4949,91,49,1
68,5040,110,76,0
69,5150,95,63,1
70,5245,101,76,1
71,5346,104,78,1
72,5450,94,70,1
73,5544,112,84,1
74,5656,120,86,1
75,5776,108,80,1
76,5884,36,26,1
77,5920,77,54,0
78,5997,116,89,1
79,6113,76,49,1
80,6189,85,58,1
81,6274,103,73,1
82,6377,105,73,1
83,6482,111,75,1
84,6593,99,66,1
85,6692,107,73,1
86,6799,102,70,1
87,6901,53,37,1
88,6954,86,61,1
89,7040,81,63,1
90,7121,79,63,1
91,7200,100,72,1
92,7300,99,73,1
93,7399,63,51,1
94,7462,39,29,0
95,7501,100,74,1
96,7601,94,71,1
97,7695,94,74,1
98,7789,109,84,1
99,7898,93,72,1
100,7991,81,60,1
101,8072,80,56,1
102,8152,88,65,1
103,8240,92,68,1
104,8332,92,68,1
105,8424,91,68,1
106,8515,82,59,1
107,8597,106,77,1
108,8703,95,68,1
109,8798,122,87,1
110,8920,118,90,1
111,9038,117,88,1
112,9155,77,59,1
113,9232,106,81,1
114,9338,49,39,0
115,9387,34,29,0
116,9421,34,29,0
117,9455,54,45,0
118,9509,64,53,1
119,9573,64,51,1
120,9637,80,63,1
121,9717,91,60,1
122,9808,71,47,1
123,9879,68,39,1
124,9947,53,34,0
125,10000,89,61,1
126,10089,94,55,1
127,10183,46,28,0
128,10229,84,57,1
129,10313,93,66,1
130,10406,121,88,1
131,10527,116,70,1
132,10643,130,75,1
133,10773,87,46,0
134,10860,67,57,0
135,10927,130,111,1
136,11057,134,113,1
137,11191,84,60,1
138,11275,72,48,1
139,11347,88,56,1
140,11435,57,38,1
141,11492,61,37,1
142,11553,94,77,1
143,11647,44,30,1
144,11691,48,34,0
145,11739,72,53,1
146,11811,86,56,1
147,11897,97,73,1
148,11994,47,37,1
149,12041,119,106,1
150,12160,84,63,1
151,12244,88,63,1
152,12332,93,63,1
153,12425,114,74,1
154,12539,93,62,1
155,12632,78,52,1
156,12710,77,58,1
157,12787,48,31,1
158,12835,71,45,1
159,12906,115,72,1
160,13021,116,92,1
161,13137,118,76,1
162,13255,95,69,1
163,13350,74,51,1
164,13424,104,71,1
165,13528,87,53,1
166,13615,89,63,1
167,13704,112,78,1
168,13816,110,80,1
169,13926,108,74,1
170,14034,118,71,1
171,14152,120,76,1
172,14272,114,86,1
173,14386,120,86,1
174,14506,117,76,1
175,14623,114,83,1
176,14737,66,53,1
177,14803,60,43,1
178,14863,93,64,1
179,14956,94,78,0
180,15050,102,73,1
181,15152,108,67,1
182,15260,119,83,1
183,15379,107,74,1
184,15486,119,87,1
185,15605,118,80,1
186,15723,61,41,1
187,15784,113,71,1
188,15897,103,64,1
189,16000,77,52,1
190,16077,80,56,1
191,16157,33,17,0
192,16190,67,43,0
193,16257,71,40,0
194,16328,104,79,1
195,16432,70,46,1
196,16502,80,54,1
197,16582,78,63,0
198,16660,75,43,1
199,16735,86,54,1
200,16821,74,67,1
201,16895,62,56,0
202,16957,39,31,0
203,16996,47,26,0
204,17043,58,37,0
205,17101,85,52,1
206,17186,103,68,1
207,17289,62,42,1
208,17351,84,54,1
209,17435,61,48,1
210,17496,90,69,1
211,17586,106,80,1
212,17692,90,70,1
213,17782,63,44,1
214,17845,75,49,1
215,17920,118,90,1
216,18038,97,57,1
217,18135,100,64,1
218,18235,92,61,1
219,18327,97,61,1
220,18424,5,2,0

